@context,@type,name,description,category,image/0,sku,gtin13,brand/@type,brand/name,aggregateRating/@type,aggregateRating/ratingValue,aggregateRating/ratingCount,weight/@context,weight/@type,weight/value,weight/unitCode,offers/@type,offers/priceCurrency,offers/name,offers/price,offers/url,offers/priceValidUntil,offers/image/0,offers/gtin13,offers/sku,offers/availability,offers/seller/@type,offers/seller/name,offers/image/1,offers/image/2
http://schema.org/,Product,Smartphone LG K51S - Titanium - 64GB - RAM 3GB - Octa Core - 4G - Câm Quádrupla - Selfie 13MP - Tela 6.5&quot; - Android 9,"Smartphone LG K51S, cor titanium, armazenamento interno de 64GB, memória RAM de 3GB, processador Octa Core, leitor biométrico 4G, câmera quádrupla...",Smartphone,https://www.saldaodainformatica.com.br/8369-home_default/smartphone-lg-k51s-titanium-64gb-ram-3gb-octa-core-4g-cam-quadrupla-selfie-13mp-tela-65-android-9.jpg,LMK510BMW.ABRATN,073674,Brand,LG,AggregateRating,4.9,89,https://schema.org,QuantitativeValue,0.500000,kg,Offer,BRL,Smartphone LG K51S - Titanium - 64GB - RAM 3GB - Octa Core - 4G - Câm Quádrupla - Selfie 13MP - Tela 6.5&quot; - Android 9,664.05,https://www.saldaodainformatica.com.br/smartphone/smartphone-lg-k51s-titanium-64gb-ram-3gb-octa-core-4g-cam-quadrupla-selfie-13mp-tela-65-android-9#/26-tipo-recertificado/31-medalha-bronze,2023-04-03,https://www.saldaodainformatica.com.br/8369-large_default/smartphone-lg-k51s-titanium-64gb-ram-3gb-octa-core-4g-cam-quadrupla-selfie-13mp-tela-65-android-9.jpg,073674,LMK510BMW.ABRATN,http://schema.org/InStock,Organization,Saldão da Informática,https://www.saldaodainformatica.com.br/7635-large_default/smartphone-lg-k51s-titanium-64gb-ram-3gb-octa-core-4g-cam-quadrupla-selfie-13mp-tela-65-android-9.jpg,
http://schema.org/,Product,Smartphone LG K52 - Cinza - 64GB - RAM 3GB - Octa Core - 4G - Câmera Quádrupla - Tela 6.6&quot; - Android 10,"Smartphone LG K52, cor cinza, armazenamento interno de 64GB, memória RAM de 3GB, processador octa core, conectividade 4G, câmera quádrupla traseira de...",Smartphone,https://www.saldaodainformatica.com.br/10073-home_default/smartphone-lg-k52-cinza-64gb-ram-3gb-octa-core-4g-camera-quadrupla-tela-66-android-10.jpg,LMK420BMW.ABRAGY,091934,Brand,LG,AggregateRating,4.9,89,https://schema.org,QuantitativeValue,0.400000,kg,Offer,BRL,Smartphone LG K52 - Cinza - 64GB - RAM 3GB - Octa Core - 4G - Câmera Quádrupla - Tela 6.6&quot; - Android 10,787.55,https://www.saldaodainformatica.com.br/smartphone/smartphone-lg-k52-cinza-64gb-ram-3gb-octa-core-4g-camera-quadrupla-tela-66-android-10#/26-tipo-recertificado/31-medalha-bronze,2023-04-03,https://www.saldaodainformatica.com.br/10073-large_default/smartphone-lg-k52-cinza-64gb-ram-3gb-octa-core-4g-camera-quadrupla-tela-66-android-10.jpg,091934,LMK420BMW.ABRAGY,http://schema.org/InStock,Organization,Saldão da Informática,https://www.saldaodainformatica.com.br/10072-large_default/smartphone-lg-k52-cinza-64gb-ram-3gb-octa-core-4g-camera-quadrupla-tela-66-android-10.jpg,
http://schema.org/,Product,Smartphone LG K61 - Titânio - 128GB - RAM 4GB - Octa Core - 4G - 4 Câmeras - Tela 6.5&quot; - Android 9,"Smartphone LG K61, cor titânio, armazenamento interno de 128GB, memória RAM de 4GB, processador octa core, 4G, 4 câmeras traseiras 48MP+8MP+2MP+5MP,...",Smartphone,https://www.saldaodainformatica.com.br/8840-home_default/smartphone-lg-k61-titanio-128gb-ram-4gb-octa-core-4g-4-cameras-tela-65-android-9.jpg,LMQ630BAW.ABRATN,074013,Brand,LG,AggregateRating,4.9,89,https://schema.org,QuantitativeValue,0.400000,kg,Offer,BRL,Smartphone LG K61 - Titânio - 128GB - RAM 4GB - Octa Core - 4G - 4 Câmeras - Tela 6.5&quot; - Android 9,873.05,https://www.saldaodainformatica.com.br/smartphone/smartphone-lg-k61-titanio-128gb-ram-4gb-octa-core-4g-4-cameras-tela-65-android-9#/26-tipo-recertificado/31-medalha-bronze,2023-04-03,https://www.saldaodainformatica.com.br/8840-large_default/smartphone-lg-k61-titanio-128gb-ram-4gb-octa-core-4g-4-cameras-tela-65-android-9.jpg,074013,LMQ630BAW.ABRATN,http://schema.org/InStock,Organization,Saldão da Informática,,
http://schema.org/,Product,Smartphone LG K22 - Titânio - 32GB - RAM 2GB - Quad Core - 4G - Câmera Dupla - Tela 6.2&quot; - Android 10,"Smartphone LG K22, cor titânio, armazenamento interno de 32GB, memória RAM de 2GB, processador Quad Core, 4G, câmera dupla traseira de 13MP+2MP, câmera...",Smartphone,https://www.saldaodainformatica.com.br/10157-home_default/smartphone-lg-k22-titanio-32gb-ram-2gb-quad-core-4g-camera-dupla-tela-62-android-10.jpg,LMK200BMW.ABRATN,091667,Brand,LG,AggregateRating,4.9,89,https://schema.org,QuantitativeValue,0.400000,kg,Offer,BRL,Smartphone LG K22 - Titânio - 32GB - RAM 2GB - Quad Core - 4G - Câmera Dupla - Tela 6.2&quot; - Android 10,626.05,https://www.saldaodainformatica.com.br/smartphone/smartphone-lg-k22-titanio-32gb-ram-2gb-quad-core-4g-camera-dupla-tela-62-android-10#/26-tipo-recertificado/31-medalha-bronze,2023-04-03,https://www.saldaodainformatica.com.br/10157-large_default/smartphone-lg-k22-titanio-32gb-ram-2gb-quad-core-4g-camera-dupla-tela-62-android-10.jpg,091667,LMK200BMW.ABRATN,http://schema.org/InStock,Organization,Saldão da Informática,https://www.saldaodainformatica.com.br/10158-large_default/smartphone-lg-k22-titanio-32gb-ram-2gb-quad-core-4g-camera-dupla-tela-62-android-10.jpg,
http://schema.org/,Product,Smartphone Positivo Twist 3 Pro - Grafite - 64GB - Dual Chip - Tela 5.7” - Android Oreo (Go Edition),"Smartphone Positivo Twist 3 Pro, Aurora, armazenamento de 64GB, Dual Chip, Tela de 5.7” polegadas com resolução HD (720 x 1440), sistema operacional...",Smartphone,https://www.saldaodainformatica.com.br/11553-home_default/smartphone-positivo-twist-3-pro-grafite-64gb-dual-chip-tela-57-android-oreo-go-edition.jpg,S53364GBGR,0257355,Brand,Positivo,AggregateRating,4.9,89,https://schema.org,QuantitativeValue,0.500000,kg,Offer,BRL,Smartphone Positivo Twist 3 Pro - Grafite - 64GB - Dual Chip - Tela 5.7” - Android Oreo (Go Edition),293.55,https://www.saldaodainformatica.com.br/smartphone/smartphone-positivo-twist-3-pro-grafite-64gb-dual-chip-tela-57-android-oreo-go-edition#/26-tipo-recertificado/30-medalha-prata,2023-04-02,https://www.saldaodainformatica.com.br/11553-large_default/smartphone-positivo-twist-3-pro-grafite-64gb-dual-chip-tela-57-android-oreo-go-edition.jpg,0257355,S53364GBGR,http://schema.org/InStock,Organization,Saldão da Informática,https://www.saldaodainformatica.com.br/11554-large_default/smartphone-positivo-twist-3-pro-grafite-64gb-dual-chip-tela-57-android-oreo-go-edition.jpg,
http://schema.org/,Product,Smartphone LG K61 - Branco - 128GB - RAM 4GB - Octa Core - 4G - 4 Câmeras - Tela 6.5&quot; - Android 9,"Smartphone LG K61, cor branco, armazenamento interno de 128GB, memória RAM de 4GB, processador Octa Core, 4G, 4 câmeras traseira de 48MP+8MP+5MP+2MP,...",Smartphone,https://www.saldaodainformatica.com.br/11001-home_default/smartphone-lg-k61-branco-128gb-ram-4gb-octa-core-4g-4-cameras-tela-65-android-9.jpg,LMQ630BAW.ABRAWH,0236253,Brand,LG,AggregateRating,4.9,89,https://schema.org,QuantitativeValue,7.000000,kg,Offer,BRL,Smartphone LG K61 - Branco - 128GB - RAM 4GB - Octa Core - 4G - 4 Câmeras - Tela 6.5&quot; - Android 9,873.05,https://www.saldaodainformatica.com.br/smartphone/smartphone-lg-k61-branco-128gb-ram-4gb-octa-core-4g-4-cameras-tela-65-android-9#/26-tipo-recertificado/31-medalha-bronze,2023-04-03,https://www.saldaodainformatica.com.br/11001-large_default/smartphone-lg-k61-branco-128gb-ram-4gb-octa-core-4g-4-cameras-tela-65-android-9.jpg,0236253,LMQ630BAW.ABRAWH,http://schema.org/InStock,Organization,Saldão da Informática,https://www.saldaodainformatica.com.br/11002-large_default/smartphone-lg-k61-branco-128gb-ram-4gb-octa-core-4g-4-cameras-tela-65-android-9.jpg,
http://schema.org/,Product,Smartphone LG K51S - Vermelho - 64GB - RAM 3GB - Octa Core - 4G - Câm Quádrupla - Selfie 13MP - Tela 6.5&quot; - Android 9,"Smartphone LG K51S, cor vermelho, armazenamento interno de 64GB, memória RAM de 3GB, processador Octa Core, leitor biométrico 4G, câmera quádrupla...",Smartphone,https://www.saldaodainformatica.com.br/8371-home_default/smartphone-lg-k51s-vermelho-64gb-ram-3gb-octa-core-4g-cam-quadrupla-selfie-13mp-tela-65-android-9.jpg,LMK510BMW.ABRAPK,074049,Brand,LG,AggregateRating,4.9,89,https://schema.org,QuantitativeValue,0.400000,kg,Offer,BRL,Smartphone LG K51S - Vermelho - 64GB - RAM 3GB - Octa Core - 4G - Câm Quádrupla - Selfie 13MP - Tela 6.5&quot; - Android 9,664.05,https://www.saldaodainformatica.com.br/smartphone/smartphone-lg-k51s-vermelho-64gb-ram-3gb-octa-core-4g-cam-quadrupla-selfie-13mp-tela-65-android-9#/26-tipo-recertificado/31-medalha-bronze,2023-04-03,https://www.saldaodainformatica.com.br/8371-large_default/smartphone-lg-k51s-vermelho-64gb-ram-3gb-octa-core-4g-cam-quadrupla-selfie-13mp-tela-65-android-9.jpg,074049,LMK510BMW.ABRAPK,http://schema.org/InStock,Organization,Saldão da Informática,https://www.saldaodainformatica.com.br/7824-large_default/smartphone-lg-k51s-vermelho-64gb-ram-3gb-octa-core-4g-cam-quadrupla-selfie-13mp-tela-65-android-9.jpg,
http://schema.org/,Product,Smartphone Positivo Twist 3 Pro - Aurora - 64GB - Dual Chip - Tela 5.7” - Android Oreo (Go Edition),"Smartphone Positivo Twist 3 Pro, Aurora, armazenamento de 64GB, Dual Chip, Tela de 5.7” polegadas com resolução HD (720 x 1440), sistema operacional...",Smartphone,https://www.saldaodainformatica.com.br/11552-home_default/smartphone-positivo-twist-3-pro-aurora-64gb-dual-chip-tela-57-android-oreo-go-edition.jpg,S53364GBAU,0257354,Brand,Positivo,AggregateRating,4.9,89,https://schema.org,QuantitativeValue,0.500000,kg,Offer,BRL,Smartphone Positivo Twist 3 Pro - Aurora - 64GB - Dual Chip - Tela 5.7” - Android Oreo (Go Edition),284.05,https://www.saldaodainformatica.com.br/smartphone/smartphone-positivo-twist-3-pro-aurora-64gb-dual-chip-tela-57-android-oreo-go-edition#/26-tipo-recertificado/31-medalha-bronze,2023-04-02,https://www.saldaodainformatica.com.br/11551-large_default/smartphone-positivo-twist-3-pro-aurora-64gb-dual-chip-tela-57-android-oreo-go-edition.jpg,0257354,S53364GBAU,http://schema.org/InStock,Organization,Saldão da Informática,https://www.saldaodainformatica.com.br/11552-large_default/smartphone-positivo-twist-3-pro-aurora-64gb-dual-chip-tela-57-android-oreo-go-edition.jpg,
http://schema.org/,Product,Smartphone LG K62 - Vermelho - 64GB - RAM 4GB - Octa Core - 4G - Câmera Quádrupla - Tela 6.6&quot; - Android 10,"Smartphone LG K62, cor vermelho, armazenamento interno de 64GB, memória RAM de 4GB, processador octa core, 4G, câmera quádrupla traseira de...",Smartphone,https://www.saldaodainformatica.com.br/9208-home_default/smartphone-lg-k62-vermelho-64gb-ram-4gb-octa-core-4g-camera-quadrupla-tela-66-android-10.jpg,LMK520BMW.ABRARD,0113021,Brand,LG,AggregateRating,4.9,89,https://schema.org,QuantitativeValue,0.500000,kg,Offer,BRL,Smartphone LG K62 - Vermelho - 64GB - RAM 4GB - Octa Core - 4G - Câmera Quádrupla - Tela 6.6&quot; - Android 10,797.05,https://www.saldaodainformatica.com.br/smartphone/smartphone-lg-k62-vermelho-64gb-ram-4gb-octa-core-4g-camera-quadrupla-tela-66-android-10#/26-tipo-recertificado/31-medalha-bronze,2023-04-03,https://www.saldaodainformatica.com.br/9208-large_default/smartphone-lg-k62-vermelho-64gb-ram-4gb-octa-core-4g-camera-quadrupla-tela-66-android-10.jpg,0113021,LMK520BMW.ABRARD,http://schema.org/InStock,Organization,Saldão da Informática,,
http://schema.org/,Product,Smartphone LG K22+ - Titânio - 64GB - RAM 3GB - Quad Core - 4G - Câmera Dupla - Tela 6.2&quot; - Android 10,"Smartphone LG K22+, cor titânio, armazenamento interno de 64GB, memória RAM de 3GB, processador Quad Core, 4G, câmera dupla traseira de 13MP+2MP, câmera...",Smartphone,https://www.saldaodainformatica.com.br/8177-home_default/smartphone-lg-k22-titanio-64gb-ram-3gb-quad-core-4g-camera-dupla-tela-62-android-10.jpg,LMK200BAW.ABRATN,091666,Brand,LG,AggregateRating,4.9,89,https://schema.org,QuantitativeValue,0.400000,kg,Offer,BRL,Smartphone LG K22+ - Titânio - 64GB - RAM 3GB - Quad Core - 4G - Câmera Dupla - Tela 6.2&quot; - Android 10,673.55,https://www.saldaodainformatica.com.br/smartphone/smartphone-lg-k22-titanio-64gb-ram-3gb-quad-core-4g-camera-dupla-tela-62-android-10#/26-tipo-recertificado/31-medalha-bronze,2023-04-02,https://www.saldaodainformatica.com.br/8177-large_default/smartphone-lg-k22-titanio-64gb-ram-3gb-quad-core-4g-camera-dupla-tela-62-android-10.jpg,091666,LMK200BAW.ABRATN,http://schema.org/InStock,Organization,Saldão da Informática,,
http://schema.org/,Product,Smartphone LG K62 - Azul - 64GB - RAM 4GB - Octa Core - 4G - Câmera Quádrupla - Tela 6.6&quot; - Android 10,"Smartphone LG K62, cor azul, armazenamento interno de 64GB, memória RAM de 4GB, processador octa core, 4G, câmera quádrupla traseira de...",Smartphone,https://www.saldaodainformatica.com.br/8376-home_default/smartphone-lg-k62-azul-64gb-ram-4gb-octa-core-4g-camera-quadrupla-tela-66-android-10.jpg,LMK520BMW.ABRABL,091800,Brand,LG,AggregateRating,4.9,89,https://schema.org,QuantitativeValue,0.400000,kg,Offer,BRL,Smartphone LG K62 - Azul - 64GB - RAM 4GB - Octa Core - 4G - Câmera Quádrupla - Tela 6.6&quot; - Android 10,996.55,https://www.saldaodainformatica.com.br/smartphone/smartphone-lg-k62-azul-64gb-ram-4gb-octa-core-4g-camera-quadrupla-tela-66-android-10#/26-tipo-recertificado/31-medalha-bronze,2023-04-02,https://www.saldaodainformatica.com.br/8376-large_default/smartphone-lg-k62-azul-64gb-ram-4gb-octa-core-4g-camera-quadrupla-tela-66-android-10.jpg,091800,LMK520BMW.ABRABL,http://schema.org/InStock,Organization,Saldão da Informática,https://www.saldaodainformatica.com.br/8075-large_default/smartphone-lg-k62-azul-64gb-ram-4gb-octa-core-4g-camera-quadrupla-tela-66-android-10.jpg,
http://schema.org/,Product,Smartphone LG K22 - Azul - 32GB - RAM 2GB - Quad Core - 4G - Câmera Dupla - Tela 6.2&quot; - Android 10,"Smartphone LG K22, cor azul, armazenamento interno de 32GB, memória RAM de 2GB, processador Quad Core, 4G, câmera dupla traseira de 13MP+2MP, câmera...",Smartphone,https://www.saldaodainformatica.com.br/8373-home_default/smartphone-lg-k22-azul-32gb-ram-2gb-quad-core-4g-camera-dupla-tela-62-android-10.jpg,LMK200BMW.ABRABL,091669,Brand,LG,AggregateRating,4.9,89,https://schema.org,QuantitativeValue,0.400000,kg,Offer,BRL,Smartphone LG K22 - Azul - 32GB - RAM 2GB - Quad Core - 4G - Câmera Dupla - Tela 6.2&quot; - Android 10,626.05,https://www.saldaodainformatica.com.br/smartphone/smartphone-lg-k22-azul-32gb-ram-2gb-quad-core-4g-camera-dupla-tela-62-android-10#/26-tipo-recertificado/31-medalha-bronze,2023-04-02,https://www.saldaodainformatica.com.br/8373-large_default/smartphone-lg-k22-azul-32gb-ram-2gb-quad-core-4g-camera-dupla-tela-62-android-10.jpg,091669,LMK200BMW.ABRABL,http://schema.org/InStock,Organization,Saldão da Informática,https://www.saldaodainformatica.com.br/8243-large_default/smartphone-lg-k22-azul-32gb-ram-2gb-quad-core-4g-camera-dupla-tela-62-android-10.jpg,
http://schema.org/,Product,Smartphoe LG K12 Max - Platina - 32GB - RAM 3GB - Octa Core - 4G - 13MP - Tela 6.2&quot; - Android 9,"Smartphoe LG K12 Max, cor platina, armazenamento interno de 32GB, memória RAM de 3GB, processador Octa Core, 4G, câmera traseira de 13MP+2MP, câmera...",Smartphone,https://www.saldaodainformatica.com.br/9843-home_default/smartphoe-lg-k12-max-platina-32gb-ram-3gb-octa-core-4g-13mp-tela-62-android-9.jpg,LMX520BMW.ABTMPL,073218,Brand,LG,AggregateRating,4.9,89,https://schema.org,QuantitativeValue,0.500000,kg,Offer,BRL,Smartphoe LG K12 Max - Platina - 32GB - RAM 3GB - Octa Core - 4G - 13MP - Tela 6.2&quot; - Android 9,949.05,https://www.saldaodainformatica.com.br/smartphone/smartphoe-lg-k12-max-platina-32gb-ram-3gb-octa-core-4g-13mp-tela-62-android-9#/26-tipo-recertificado/31-medalha-bronze,2023-04-02,https://www.saldaodainformatica.com.br/9843-large_default/smartphoe-lg-k12-max-platina-32gb-ram-3gb-octa-core-4g-13mp-tela-62-android-9.jpg,073218,LMX520BMW.ABTMPL,http://schema.org/InStock,Organization,Saldão da Informática,,
http://schema.org/,Product,Smartphone LG G4 LGH818P - 4G - 32GB - Tela 5.5&quot; - Dourado,"Smartphone LG G4 Dourado com 32GB de memória interna, tecnologia 4G LTE, bluetooth 4.0, dysplay LCD de 5.5 polegadas, sistema operacional Android 5.1 e...",Smartphone,https://www.saldaodainformatica.com.br/10348-home_default/smartphone-lg-g4-lgh818p-4g-32gb-tela-55-dourado.jpg,LGH818P.ABRAGD,0111629,Brand,LG,AggregateRating,4.9,89,https://schema.org,QuantitativeValue,0.400000,kg,Offer,BRL,Smartphone LG G4 LGH818P - 4G - 32GB - Tela 5.5&quot; - Dourado,436.05,https://www.saldaodainformatica.com.br/smartphone/smartphone-lg-g4-lgh818p-4g-32gb-tela-55-dourado#/26-tipo-recertificado/31-medalha-bronze,2023-04-02,https://www.saldaodainformatica.com.br/10348-large_default/smartphone-lg-g4-lgh818p-4g-32gb-tela-55-dourado.jpg,0111629,LGH818P.ABRAGD,http://schema.org/InStock,Organization,Saldão da Informática,https://www.saldaodainformatica.com.br/10349-large_default/smartphone-lg-g4-lgh818p-4g-32gb-tela-55-dourado.jpg,https://www.saldaodainformatica.com.br/10350-large_default/smartphone-lg-g4-lgh818p-4g-32gb-tela-55-dourado.jpg
http://schema.org/,Product,Smartphone LG K40S - Preto - 32GB - RAM 3GB - Octa Core - 4G - 13MP - Tela 6.1&quot; - Android 9,"Smartphone LG K40S, cor preto, armazenamento interno de 32GB, memória RAM de 3GB, processador Octa Core, 4G, câmera dupla traseira de 13MP+5MP, câmera...",Smartphone,https://www.saldaodainformatica.com.br/7514-home_default/smartphone-lg-k40s-preto-32gb-ram-3gb-octa-core-4g-13mp-tela-61-android-9.jpg,LMX430BMW.ABRABK,073320,Brand,LG,AggregateRating,4.9,89,https://schema.org,QuantitativeValue,0.500000,kg,Offer,BRL,Smartphone LG K40S - Preto - 32GB - RAM 3GB - Octa Core - 4G - 13MP - Tela 6.1&quot; - Android 9,578.55,https://www.saldaodainformatica.com.br/smartphone/smartphone-lg-k40s-preto-32gb-ram-3gb-octa-core-4g-13mp-tela-61-android-9#/26-tipo-recertificado/31-medalha-bronze,2023-04-02,https://www.saldaodainformatica.com.br/7514-large_default/smartphone-lg-k40s-preto-32gb-ram-3gb-octa-core-4g-13mp-tela-61-android-9.jpg,073320,LMX430BMW.ABRABK,http://schema.org/InStock,Organization,Saldão da Informática,,
http://schema.org/,Product,Smartphone LG K41S - Titânio - 32GB - RAM 3GB - Octa Core - 4G - 4 Câmeras - Tela 6.5&quot; - Android 9,"Smartphone LG K41S, cor titânio, armazenamento interno de 32GB, memória RAM de 3GB, processador octa core, 4G, 4 câmeras traseiras de 13MP+5MP+2MP+2MP,...",Smartphone,https://www.saldaodainformatica.com.br/7816-home_default/smartphone-lg-k41s-titanio-32gb-ram-3gb-octa-core-4g-4-cameras-tela-65-android-9.jpg,LMK410BMW.ABRATN,074014,Brand,LG,AggregateRating,4.9,89,https://schema.org,QuantitativeValue,0.400000,kg,Offer,BRL,Smartphone LG K41S - Titânio - 32GB - RAM 3GB - Octa Core - 4G - 4 Câmeras - Tela 6.5&quot; - Android 9,664.05,https://www.saldaodainformatica.com.br/smartphone/smartphone-lg-k41s-titanio-32gb-ram-3gb-octa-core-4g-4-cameras-tela-65-android-9#/26-tipo-recertificado/31-medalha-bronze,2023-04-03,https://www.saldaodainformatica.com.br/7816-large_default/smartphone-lg-k41s-titanio-32gb-ram-3gb-octa-core-4g-4-cameras-tela-65-android-9.jpg,074014,LMK410BMW.ABRATN,http://schema.org/InStock,Organization,Saldão da Informática,,
http://schema.org/,Product,Smartphone LG K52 - Verde - 64GB - RAM 3GB - Octa Core - 4G - Câmera Quádrupla - Tela 6.6&quot; - Android 10,"Smartphone LG K52, cor verde, armazenamento interno de 64GB, memória RAM de 3GB, processador octa core, conectividade 4G, câmera quádrupla traseira de...",Smartphone,https://www.saldaodainformatica.com.br/9210-home_default/smartphone-lg-k52-verde-64gb-ram-3gb-octa-core-4g-camera-quadrupla-tela-66-android-10.jpg,LMK420BMW.ABRAGN,0111690,Brand,LG,AggregateRating,4.9,89,https://schema.org,QuantitativeValue,0.400000,kg,Offer,BRL,Smartphone LG K52 - Verde - 64GB - RAM 3GB - Octa Core - 4G - Câmera Quádrupla - Tela 6.6&quot; - Android 10,759.05,https://www.saldaodainformatica.com.br/smartphone/smartphone-lg-k52-verde-64gb-ram-3gb-octa-core-4g-camera-quadrupla-tela-66-android-10#/26-tipo-recertificado/31-medalha-bronze,2023-04-03,https://www.saldaodainformatica.com.br/9210-large_default/smartphone-lg-k52-verde-64gb-ram-3gb-octa-core-4g-camera-quadrupla-tela-66-android-10.jpg,0111690,LMK420BMW.ABRAGN,http://schema.org/InStock,Organization,Saldão da Informática,,
